episode,score,total_reward,epsilon
80.0,1.0,-0.29999999999999893,0.8537147042406664
81.0,0.0,-11.2,0.8520072748321851
82.0,2.0,9.600000000000001,0.8503032602825207
83.0,0.0,-10.8,0.8486026537619556
84.0,2.0,9.699999999999996,0.8469054484544317
85.0,1.0,-1.3999999999999968,0.8452116375575228
86.0,0.0,-10.4,0.8435212142824078
87.0,1.0,-0.4999999999999982,0.841834171853843
88.0,1.0,-1.1999999999999957,0.8401505035101353
89.0,0.0,-11.4,0.838470202503115
90.0,1.0,-0.29999999999999893,0.8367932620981088
91.0,0.0,-10.6,0.8351196755739125
92.0,0.0,-10.3,0.8334494362227647
93.0,0.0,-10.5,0.8317825373503192
94.0,1.0,-0.4999999999999982,0.8301189722756185
95.0,1.0,-0.6999999999999993,0.8284587343310672
96.0,0.0,-10.8,0.8268018168624051
97.0,0.0,-10.9,0.8251482132286803
98.0,0.0,-11.5,0.823497916802223
99.0,1.0,-0.5,0.8218509209686186
100.0,0.0,-10.6,0.8202072191266814
101.0,0.0,-10.9,0.818566804688428
102.0,0.0,-10.5,0.8169296710790511
103.0,0.0,-11.3,0.815295811736893
104.0,0.0,-10.6,0.8136652201134192
105.0,0.0,-10.7,0.8120378896731923
106.0,0.0,-10.7,0.8104138138938459
107.0,0.0,-10.9,0.8087929862660582
108.0,0.0,-10.6,0.8071754002935261
109.0,2.0,8.599999999999998,0.805561049492939
110.0,3.0,17.899999999999984,0.8039499273939532
111.0,0.0,-10.3,0.8023420275391653
112.0,0.0,-10.6,0.800737343484087
113.0,0.0,-10.5,0.7991358687971188
114.0,4.0,29.099999999999994,0.7975375970595246
115.0,1.0,-0.9999999999999982,0.7959425218654056
116.0,0.0,-10.4,0.7943506368216747
117.0,0.0,-10.4,0.7927619355480314
118.0,0.0,-11.3,0.7911764116769353
119.0,0.0,-10.4,0.7895940588535815
120.0,0.0,-10.4,0.7880148707358743
121.0,0.0,-10.5,0.7864388409944025
122.0,0.0,-11.3,0.7848659633124138
123.0,0.0,-10.4,0.783296231385789
124.0,0.0,-10.3,0.7817296389230174
125.0,0.0,-10.7,0.7801661796451713
126.0,1.0,-0.29999999999999893,0.778605847285881
127.0,0.0,-10.4,0.7770486355913092
128.0,2.0,7.799999999999997,0.7754945383201266
129.0,0.0,-10.4,0.7739435492434863
130.0,1.0,-1.6999999999999957,0.7723956621449993
131.0,1.0,-0.9999999999999982,0.7708508708207094
132.0,0.0,-10.5,0.769309169079068
133.0,2.0,7.4999999999999964,0.7677705507409098
134.0,0.0,-11.3,0.766235009639428
135.0,1.0,-0.8999999999999986,0.7647025396201492
136.0,1.0,-0.40000000000000036,0.763173134540909
137.0,1.0,-0.3999999999999986,0.7616467882718272
138.0,1.0,-0.29999999999999893,0.7601234946952835
139.0,0.0,-10.9,0.7586032477058929
140.0,1.0,-1.0,0.7570860412104812
141.0,0.0,-11.0,0.7555718691280602
142.0,1.0,-0.29999999999999893,0.7540607253898041
143.0,0.0,-10.7,0.7525526039390245
144.0,0.0,-10.5,0.7510474987311464
145.0,0.0,-10.7,0.7495454037336841
146.0,0.0,-11.2,0.7480463129262167
147.0,0.0,-10.9,0.7465502203003642
148.0,0.0,-10.7,0.7450571198597635
149.0,1.0,-0.4999999999999982,0.743567005620044
150.0,2.0,8.600000000000001,0.7420798716088038
151.0,1.0,-1.0,0.7405957118655863
152.0,0.0,-10.4,0.7391145204418551
153.0,0.0,-10.4,0.7376362914009714
154.0,0.0,-10.2,0.7361610188181695
155.0,1.0,-0.8999999999999986,0.7346886967805332
156.0,0.0,-11.4,0.733219319386972
157.0,1.0,-0.3999999999999986,0.7317528807481981
158.0,1.0,-1.9000000000000004,0.7302893749867018
159.0,1.0,-0.3000000000000007,0.7288287962367284
160.0,0.0,-10.6,0.727371138644255
161.0,2.0,7.3999999999999915,0.7259163963669665
162.0,0.0,-11.0,0.7244645635742325
163.0,2.0,9.100000000000001,0.723015634447084
164.0,0.0,-10.7,0.7215696031781899
165.0,3.0,17.1,0.7201264639718334
166.0,0.0,-10.7,0.7186862110438897
167.0,1.0,-1.4999999999999947,0.717248838621802
168.0,2.0,7.59999999999998,0.7158143409445584
169.0,1.0,-0.9000000000000004,0.7143827122626694
170.0,0.0,-10.9,0.7129539468381441
171.0,0.0,-11.8,0.7115280389444678
172.0,1.0,-0.29999999999999893,0.7101049828665789
173.0,1.0,-0.5,0.7086847729008457
174.0,0.0,-10.4,0.707267403355044
175.0,2.0,9.499999999999993,0.705852868548334
176.0,3.0,18.59999999999999,0.7044411628112373
177.0,1.0,-0.5,0.7030322804856147
178.0,1.0,-0.5999999999999996,0.7016262159246435
179.0,1.0,-0.5999999999999996,0.7002229634927942
180.0,0.0,-10.6,0.6988225175658086
181.0,0.0,-11.1,0.697424872530677
182.0,0.0,-11.5,0.6960300227856157
183.0,0.0,-11.8,0.6946379627400444
184.0,1.0,-0.5999999999999996,0.6932486868145643
185.0,0.0,-10.3,0.6918621894409351
186.0,0.0,-10.6,0.6904784650620532
187.0,0.0,-11.5,0.6890975081319292
188.0,3.0,17.599999999999987,0.6877193131156653
189.0,0.0,-10.7,0.6863438744894339
190.0,1.0,-0.8999999999999986,0.684971186740455
191.0,0.0,-10.6,0.6836012443669741
192.0,2.0,9.5,0.6822340418782402
